elapsed_s	provider	count	approx_bytes
16.832	MemoryMetricRegistry.providerCount	6	-
17.341	MeasurementCache.entriesByIdentity	636	-
17.341	ViewGraph.nodesByIdentity	307	-
17.341	ImageAssetRepository.decodedImages	0	0
17.341	RetainedFrameIndex.placedByIdentity	282	4180
17.341	AnimationController.activeAnimations	1	-
17.341	TextLayoutCache.entries	145	-
17.341	MemoryMetricRegistry.providerCount	6	-
17.846	MeasurementCache.entriesByIdentity	636	-
17.846	ViewGraph.nodesByIdentity	307	-
17.846	ImageAssetRepository.decodedImages	0	0
17.846	RetainedFrameIndex.placedByIdentity	282	4180
17.846	AnimationController.activeAnimations	1	-
17.846	TextLayoutCache.entries	145	-
17.846	MemoryMetricRegistry.providerCount	6	-
18.361	MeasurementCache.entriesByIdentity	636	-
18.361	ViewGraph.nodesByIdentity	307	-
18.361	ImageAssetRepository.decodedImages	0	0
18.361	RetainedFrameIndex.placedByIdentity	282	4180
18.361	AnimationController.activeAnimations	1	-
18.361	TextLayoutCache.entries	145	-
18.361	MemoryMetricRegistry.providerCount	6	-
18.874	MeasurementCache.entriesByIdentity	636	-
18.874	ViewGraph.nodesByIdentity	307	-
18.874	ImageAssetRepository.decodedImages	0	0
18.874	RetainedFrameIndex.placedByIdentity	282	4180
18.874	AnimationController.activeAnimations	1	-
18.874	TextLayoutCache.entries	145	-
18.874	MemoryMetricRegistry.providerCount	6	-
19.375	MeasurementCache.entriesByIdentity	636	-
19.375	ViewGraph.nodesByIdentity	307	-
19.375	ImageAssetRepository.decodedImages	0	0
19.375	RetainedFrameIndex.placedByIdentity	282	4180
19.375	AnimationController.activeAnimations	1	-
19.375	TextLayoutCache.entries	145	-
19.375	MemoryMetricRegistry.providerCount	6	-
19.881	MeasurementCache.entriesByIdentity	636	-
19.881	ViewGraph.nodesByIdentity	307	-
19.881	ImageAssetRepository.decodedImages	0	0
19.881	RetainedFrameIndex.placedByIdentity	282	4180
19.881	AnimationController.activeAnimations	1	-
19.881	TextLayoutCache.entries	145	-
19.881	MemoryMetricRegistry.providerCount	6	-
