elapsed_s	provider	count	approx_bytes
12.771	MemoryMetricRegistry.providerCount	6	-
13.296	ViewGraph.nodesByIdentity	203	-
13.296	TextLayoutCache.entries	148	-
13.296	ImageAssetRepository.decodedImages	0	0
13.296	MeasurementCache.entriesByIdentity	310	-
13.296	AnimationController.activeAnimations	0	-
13.296	RetainedFrameIndex.placedByIdentity	183	4180
13.296	MemoryMetricRegistry.providerCount	6	-
13.816	ViewGraph.nodesByIdentity	203	-
13.816	TextLayoutCache.entries	148	-
13.816	ImageAssetRepository.decodedImages	0	0
13.816	MeasurementCache.entriesByIdentity	310	-
13.816	AnimationController.activeAnimations	0	-
13.816	RetainedFrameIndex.placedByIdentity	183	4180
13.816	MemoryMetricRegistry.providerCount	6	-
14.320	ViewGraph.nodesByIdentity	203	-
14.320	TextLayoutCache.entries	150	-
14.320	ImageAssetRepository.decodedImages	0	0
14.320	MeasurementCache.entriesByIdentity	310	-
14.320	AnimationController.activeAnimations	0	-
14.320	RetainedFrameIndex.placedByIdentity	183	4180
14.320	MemoryMetricRegistry.providerCount	6	-
14.829	ViewGraph.nodesByIdentity	203	-
14.829	TextLayoutCache.entries	150	-
14.829	ImageAssetRepository.decodedImages	0	0
14.829	MeasurementCache.entriesByIdentity	310	-
14.829	AnimationController.activeAnimations	0	-
14.829	RetainedFrameIndex.placedByIdentity	183	4180
14.829	MemoryMetricRegistry.providerCount	6	-
15.331	ViewGraph.nodesByIdentity	203	-
15.331	TextLayoutCache.entries	152	-
15.331	ImageAssetRepository.decodedImages	0	0
15.331	MeasurementCache.entriesByIdentity	310	-
15.331	AnimationController.activeAnimations	0	-
15.331	RetainedFrameIndex.placedByIdentity	183	4180
15.331	MemoryMetricRegistry.providerCount	6	-
15.836	ViewGraph.nodesByIdentity	203	-
15.836	TextLayoutCache.entries	152	-
15.836	ImageAssetRepository.decodedImages	0	0
15.836	MeasurementCache.entriesByIdentity	310	-
15.836	AnimationController.activeAnimations	0	-
15.836	RetainedFrameIndex.placedByIdentity	183	4180
15.836	MemoryMetricRegistry.providerCount	6	-
16.346	ViewGraph.nodesByIdentity	204	-
16.346	TextLayoutCache.entries	156	-
16.346	ImageAssetRepository.decodedImages	0	0
16.346	MeasurementCache.entriesByIdentity	314	-
16.346	AnimationController.activeAnimations	0	-
16.346	RetainedFrameIndex.placedByIdentity	184	4180
16.346	MemoryMetricRegistry.providerCount	6	-
16.852	ViewGraph.nodesByIdentity	204	-
16.852	TextLayoutCache.entries	156	-
16.852	ImageAssetRepository.decodedImages	0	0
16.852	MeasurementCache.entriesByIdentity	314	-
16.852	AnimationController.activeAnimations	0	-
16.852	RetainedFrameIndex.placedByIdentity	184	4180
16.852	MemoryMetricRegistry.providerCount	6	-
17.356	ViewGraph.nodesByIdentity	204	-
17.356	TextLayoutCache.entries	158	-
17.356	ImageAssetRepository.decodedImages	0	0
17.356	MeasurementCache.entriesByIdentity	314	-
17.356	AnimationController.activeAnimations	0	-
17.356	RetainedFrameIndex.placedByIdentity	184	4180
17.356	MemoryMetricRegistry.providerCount	6	-
17.866	ViewGraph.nodesByIdentity	204	-
17.866	TextLayoutCache.entries	158	-
17.866	ImageAssetRepository.decodedImages	0	0
17.866	MeasurementCache.entriesByIdentity	315	-
17.866	AnimationController.activeAnimations	0	-
17.866	RetainedFrameIndex.placedByIdentity	184	4180
17.866	MemoryMetricRegistry.providerCount	6	-
18.371	ViewGraph.nodesByIdentity	204	-
18.371	TextLayoutCache.entries	160	-
18.371	ImageAssetRepository.decodedImages	0	0
18.371	MeasurementCache.entriesByIdentity	315	-
18.371	AnimationController.activeAnimations	0	-
18.371	RetainedFrameIndex.placedByIdentity	184	4180
18.371	MemoryMetricRegistry.providerCount	6	-
18.873	ViewGraph.nodesByIdentity	204	-
18.873	TextLayoutCache.entries	160	-
18.873	ImageAssetRepository.decodedImages	0	0
18.873	MeasurementCache.entriesByIdentity	315	-
18.873	AnimationController.activeAnimations	0	-
18.873	RetainedFrameIndex.placedByIdentity	184	4180
18.873	MemoryMetricRegistry.providerCount	6	-
19.385	ViewGraph.nodesByIdentity	204	-
19.385	TextLayoutCache.entries	162	-
19.385	ImageAssetRepository.decodedImages	0	0
19.385	MeasurementCache.entriesByIdentity	314	-
19.385	AnimationController.activeAnimations	0	-
19.385	RetainedFrameIndex.placedByIdentity	184	4180
19.385	MemoryMetricRegistry.providerCount	6	-
19.912	ViewGraph.nodesByIdentity	204	-
19.912	TextLayoutCache.entries	162	-
19.912	ImageAssetRepository.decodedImages	0	0
19.912	MeasurementCache.entriesByIdentity	314	-
19.912	AnimationController.activeAnimations	0	-
19.912	RetainedFrameIndex.placedByIdentity	184	4180
19.912	MemoryMetricRegistry.providerCount	6	-
